review_id,k,scale,theta,I2,tau2,entropy,kl_divergence,mutual_info,fisher_info,norm_entropy_index,n_modes,skewness,kurtosis,entropy_class
CD015932,10,ratio,-0.2841,94.3,0.0471,0.398,1.5014,1.3322,5012.63,0.3461,4,-0.541,0.787,Moderate
CD015968,3,difference,-1.1554,12.9,0.824,2.6504,1.128,,0.6,0.3015,1,0,0,Moderate
CD016031,28,ratio,-0.2507,0,0,1.9826,29.9992,0.616,20.99,0.0789,2,-0.263,-1.168,Concentrated
CD016064,5,ratio,0.2913,0,0,1.5941,8.9587,0.0138,11.12,0.1351,1,1.559,1.787,Concentrated
CD016119,16,ratio,0.2936,33.0,0.0973,1.2849,1.998,0.6048,88.51,0.1242,2,-0.349,-0.564,Concentrated
CD016120,4,ratio,-0.3542,85.0,1.0846,1.364,0.231,,69.1,0.3387,1,-3.187,8.401,Moderate
CD016131,5,ratio,-0.3029,0,0,0.7174,3.6474,0.0138,38.81,0.1118,2,-0.005,1.152,Concentrated
CD016136,30,difference,0.9477,78.1,0.296,1.3363,0.4884,0.2972,382.33,0.2372,2,0.99,1.782,Concentrated
CD016147,3,ratio,-0.1935,59.8,0.0847,0.5263,0.0363,,56.0,0.4753,1,0,0,Moderate
CD016148,4,ratio,0.0382,0,0,0.7229,57.1074,,169.36,0.0474,1,6.711,52.47,Concentrated
CD016211,5,ratio,-0.4165,0,0,0.9476,34.1151,0.0138,146.19,0.0726,2,6.808,47.748,Concentrated
CD016278,4,ratio,-0.1308,5.8,0.0048,1.1411,46.5998,,134.66,0.0949,1,-5.072,40.288,Concentrated
